ad,domain,email,telefon,sehir,kaynak
Martrade Denizcilik Taşımacılık A.Ş.,marlog-lbg.com,umit.yuzuguldu@martrade-logistics.com,0216 688 45 50,İSTANBUL,UTIKAD
Master Global Lojistik ve Dış Tic. Ltd. Şti.,mastergloballogistics.com,mehmet@mastergloballogistic.com,0212 823 11 23,İSTANBUL,UTIKAD
Matriks Denizcilik A.Ş.,matrix-trans.com,matrix@matrix-shipping.com,0216 580 83 19,İSTANBUL,UTIKAD
Maurice Ward Lojistik Ltd. Şti.,mauriceward.com,turkiye@mauriceward.com,0212 909 00 27,İSTANBUL,UTIKAD
Mavi Uluslararası Nak. ve Tur. Tic. Ltd. Şti.,mavi-intl.com,mavi@mavi-intl.com,0212 249 37 80,İSTANBUL,UTIKAD
Maxlog Taşımacılık ve Ticaret Ltd. Ştİ.,maxlog.com.tr,info@maxlog.com.tr,0232 966 06 80,İZMİR,UTIKAD
MCL Ulus. Konsolidasyon ve Liman Hiz. A.Ş.,mcl-turkey.com,info@mcl-turkey.com,0216 541 44 22,İSTANBUL,UTIKAD
Medex Lojistik A.Ş.,medex-tr.com,operasyon@medex-tr.com,,İSTANBUL,UTIKAD
Medfor Taşımacılık ve Tic. A.Ş.,meddenshipping.com,info@meddenshipping.com,0232 445 26 00,İZMİR,UTIKAD
Medsea Port Denizcilik A.Ş.,medsea.com.tr,info@medsea.com.tr,0326 502 28 29,HATAY,UTIKAD
Mentfield Lojistik Hizmetleri Tic. Ltd. Şti.,mentfieldlojistik.com.tr,info@mentfieldlojistik.com.tr,0216 577 53 30,İSTANBUL,UTIKAD
Mentor Gümrük Müşavirliği Ltd. Şti.,mentorgumruk.com.tr,mentor@mentorgumruk.com.tr,0212 472 81 61,İSTANBUL,UTIKAD
Mentor Lojistik A.Ş.,mentorlojistik.com.tr,cenk.ergen@mentorlojistik.net,0232 234 66 88,İZMİR,UTIKAD
MER Denizcilik Nakliyat Sanayi ve Tic. Ltd. Şti.,mershipping.com,cenknas@mershipping.com,0216 639 13 00,İSTANBUL,UTIKAD
Mercek Global Lojistik ve Ticaret A.Ş.,mercekglobal.com,izmir@merceklogistics.com,0532 551 26 52,İZMİR,UTIKAD
Merden Lojistik A.Ş.,merden.com.tr,mersin@merden.com.tr,0324 238 60 40,MERSİN,UTIKAD
Merem Lojistik San. ve Tic. Ltd. Şti.,meremlojistik.com,ahmetserhat.sipahi@meremlojistik.com,0324 504 13 00,MERSİN,UTIKAD
Merkont Lojistik A.Ş.,merkont.com.tr,mersin@merkont.com.tr,0324 238 68 38,MERSİN,UTIKAD
Mersin Merport Loj. Hiz. Dep. Taş. Ltd. Şti.,mersinmerport.com,muratbilik@mersinmerport.com,0324 234 24 88,MERSİN,UTIKAD
Mesco Uluslararası Taş. İth. İhr. Tic. A.Ş.,mesco.com.tr,info@mesco.com.tr,0232 441 48 47,İZMİR,UTIKAD
Metronak Tekstil Uluslararası Taşımacılık İnş. Gıda Turizm San. ve Tic. Ltd. Şti.,metronak.com.tr,info@metronak.com.tr,0324 239 25 25,MERSİN,UTIKAD
Mezon Lojistik A.Ş.,mezonlogistics.com,info@mezonlogistics.com,0216 564 33 40,İSTANBUL,UTIKAD
MGL Lojistik Hizmetleri A.Ş.,marshall-log.com,,0216 566 50 00,İSTANBUL,UTIKAD
MH Logistics Turizm Dış Ticaret Ltd. Şti.,mhlogistics.com.tr,info@mhlogistics.com.tr,0312 395 80 44,ANKARA,UTIKAD
Midas Global Lojistik Ltd. Şti.,mgl.cc,info@mgl.cc,0212 438 18 18,İSTANBUL,UTIKAD
Middle Corridor Lojistik A.Ş.,middle-corridor.com,cankat.yildiz@middle-corridor.com,0541 723 78 13,ANKARA,UTIKAD
Militzer Münch Ulus.  Nak. ve Loj. Hiz. Tic. A.Ş.,mumnet.com,turkey.info@mumnet.com,0212 446 22 22,İSTANBUL,UTIKAD
Mir Global Lojistik A.Ş.,mirlog.com.tr,info@mirlog.com.tr,0212 430 80 01,İSTANBUL,UTIKAD
Mission Freight İstanbul Ulus. Nak. Tur. Güm. İç ve Dış Tic. Ltd. Şti.,mission.com.tr,accout@mfi.com.tr,0216 632 66 88,İSTANBUL,UTIKAD
MNG Havayolları ve Taşımacılık A.Ş.,mngairlines.com,info@mngairlines.com,0212 468 05 00,İSTANBUL,UTIKAD
Moda Denizcilik Nak. Dış Tic. Ltd. Şti.,modaship.com,info@modaship.com,0212 274 01 61,İSTANBUL,UTIKAD
MOL Turkey Denizcilik ve Lojistik Tic. A.Ş.,molturkiye.com,info.moltr@molgroup.com,0212 813 12 89,İSTANBUL,UTIKAD
Monart Lojistik A.Ş.,monartlogistics.com,atakan.ornal@monartlogistics.com,0212 285 00 00,İSTANBUL,UTIKAD
Mondiale VGL Uluslararası Taş. Hiz. Tic. A.Ş.,vglworld.com.tr,aakpancar@vglworld.com.tr,0224 322 08 45,BURSA,UTIKAD
MPM Lojistik Hizmetleri Tic. Ltd. Şti.,mpm-worldwide.com,engin.sahin@mpm-worldwide.com,0216 577 53 30,İSTANBUL,UTIKAD
MSE Europe Taş. Org. Loj. Ltd. Şti.,mse-europe.net,murat.ucar@mse-europe.net,0212 916 10 57,İSTANBUL,UTIKAD
MTS Lojistik ve Taşımacılık Hizmetleri Tic. A.Ş.,mts.com.tr,mts@mts.com.tr,0212 216 60 00,İSTANBUL,UTIKAD
Mudi Lojistik ve Dış Ticaret A.Ş.,mudilogistics.com,,0542 132 17 38,İSTANBUL,UTIKAD
Mulier Fortis Lojistik A.Ş.,mulierfortis.com,info@mulierfortis.com,0212 830 88 00,İSTANBUL,UTIKAD
Mundoimex Global Lojistik ve Dış Tic. A.Ş.,mundoimex.com,info@mundoimex.com,0212 852 46 39,İSTANBUL,UTIKAD
MYL Lojistik A.Ş.,myl.com.tr,info@myl.com.tr,0232 464 75 13,İZMİR,UTIKAD
Nares Uluslararası Taşımacılık Tic. A.Ş.,nareslog.com,info@nareslog.com,0232 404 52 52,İZMİR,UTIKAD
Net Logistics Taşımacılık A.Ş.,thenetlogistics.com,info@thenetlogistics.com,0216 574 73 73,İSTANBUL,UTIKAD
Netaş Global Loj. Ulus. Taş. San. ve Tic. Ltd. Şti.,netasglobal.com,info@netasglobal.com,0216 315 99 67,İSTANBUL,UTIKAD
Netaway Global Lojistik Taşımacılık ve Depolama Hizmetleri Dış Tic. A.Ş.,netaway.com.tr,info@netaway.com.tr,0212 422 44 12,İSTANBUL,UTIKAD
Netglobal Ulus. Lojistik Dış Tic. Ltd. Şti.,netgloballojistik.com,info@netgloballojistik.com- sales@netgloballojistik.com,0324 237 15 05,MERSİN,UTIKAD
Netlog Global Forwarding Taşımacılık A.Ş.,netloglogistics.com,info@netloglogistics.com,0212 622 50 00,İSTANBUL,UTIKAD
Network Global Lojistik A.Ş.,networkgloballogistics.com,info@networkgloballogistics.com,0216 455 40 02,İSTANBUL,UTIKAD
NGL Lojistik Ltd. Şti.,northerlogistics.com,muhasebe@northerlogistics.com,0216 576 90 28,İSTANBUL,UTIKAD
Nippon Express İstanbul Global Lojistik A.Ş.,nipponexpress.com,volkan.yildirim@neeur.com,0212 465 69 34,İSTANBUL,UTIKAD
Nira Denizcilik ve Lojistik Ltd. Şti.,nirashipping.com,info@nirashipping.com,0216 574 63 00,İSTANBUL,UTIKAD
Nish Lojistik A.Ş.,nishlogistics.com,info@nishlogistics.com,0212 603 64 74,İSTANBUL,UTIKAD
NMT Lojistik A.Ş.,nmtlojistik.com,info@nmt-tr.com,0212 272 12 19,İSTANBUL,UTIKAD
Noatum Lojistik A.Ş.,noatumlogistics.com,levent@noatumlogistics.com,0216 422 85 85,İSTANBUL,UTIKAD
Nokta Gemi Acenteliği ve Uluslararası Taş. A.Ş.,noktalojistik.com.tr,info@noktalojistik.com,0324 235 35 65,MERSİN,UTIKAD
Nora Global Lojistik A.Ş.,noraglobal.com.tr,info@noraglobal.com.tr,0232 464 56 60,İZMİR,UTIKAD
Nortranss Uluslararası Taş. Bilişim Ltd. Şti.,nortranss.com.tr,serhattangor@nortranss.com.tr,0312 427 78 33 - 0312 427 78 34,ANKARA,UTIKAD
Novel Ulus. Taş. ve Tekstil San. Tic. Ltd. Şti.,noveltrans.com,info@noveltrans.com,0232 463 72 02,İZMİR,UTIKAD
NS Global Lojistik Hiz. Sanayi ve Tic. Ltd. Şti.,nsglog.com,info@nsglog.com,0224 443 04 03,BURSA,UTIKAD
NTG Uluslararası Lojistik Ltd. Şti.,ntgturkey.com,info@ntgturkey.com,0212 867 62 00,İSTANBUL,UTIKAD
Obdan Sistem Antrepoculuk ve Taş. Tic. A.Ş.,obdansistem.com,antrepo@obdansistem.com,0216 451 94 54,İSTANBUL,UTIKAD
ODS Global Lojistik Ticaret A.Ş.,odsglobal.com,info@odsglobal.com,0216 504 24 84,İSTANBUL,UTIKAD
ODY Global Lojistik Tic. A.Ş.,odylogistics.com,info@odylogistics.com,0224 451 49 99,BURSA,UTIKAD
Okuyan Loj. ve Antrepo İşletmeciliği Ltd. Şti.,okuyan.com.tr,,0212 639 30 43,İSTANBUL,UTIKAD
OLS Dış Ticaret A.Ş.,olstrans.com,rifat@olslog.com,0212 803 60 04,İSTANBUL,UTIKAD
Omega Global Ulus. Taş.  Loj. Tic. Ltd. Şti.,omegagloballogistics.com,info@oglturkey.com,0232 421 17 26,İZMİR,UTIKAD
Omega Shıppıng Taşımacılık ve Tic. Ltd. Şti.,omega-shipping.com,info@omega-shipping.com,0216 463 65 00,İSTANBUL,UTIKAD
Omsan Lojistik A.Ş.,omsan.com,omsan@omsan.com,0216 458 55 55,İSTANBUL,UTIKAD
Onboard Taş. ve Loj. İşletmeleri Ltd. Şti.,onboardlogistics.com.tr,metecan.ozdilek@onboardlogistics.com.tr,0542 638 38 42,İSTANBUL,UTIKAD
One Uluslararası Taşımacılık ve Dış Tic. A.Ş.,onelogtr.com,arzu.akagunduz@onelogtr.com,0216 422 11 01,İSTANBUL,UTIKAD
Onel Global Lojistik Dış Ticaret A.Ş.,onelgumruk.com,on-el@onelgumruk.com,0212 444 66 35,İSTANBUL,UTIKAD
OPLOG Operasyonel Lojistik A.Ş.,oplog.io,biz.ops@oplog.io,0312 266 06 69,ANKARA,UTIKAD
Optimum Global Lojistik ve Taşımacılık A.Ş.,optimumglobal.com.tr,ozgur.yilmaz@optimumglobal.com.tr,0532 402 45 58,İZMİR,UTIKAD
Orange World Wide Logistic ve Taşımacılık Organizasyonu Tic. A.Ş.,orangewwlogistic.com,info@orangewwlogistic.com,0216 465 27 30,İSTANBUL,UTIKAD
Oraysan İnşaat Lojistik San. Tic. A.Ş.,oraysan.com.tr,,0212 664 60 00,İSTANBUL,UTIKAD
Oregon Teknoloji Hizmetleri A.Ş.,oregontech.com.tr,info@oregon.com.tr,0216 362 09 89,İSTANBUL,UTIKAD
Orfe Denizcilik Nakliyat Turizm Tarım Ürünleri İthalat İhracat San. ve Tic. Ltd. Şti.,orfe.com.tr,orfe@orfe.com.tr,0324 233 90 08,MERSİN,UTIKAD
ORG Global Lojistik Ltd.Şti.,orggloballojistik.com,baris@orglojistik.com,0212 806 74 24,İSTANBUL,UTIKAD
Orient Ekspres Uluslararası Taşımacılık Turizm ve Ticaret Ltd. Şti.,orientekspres.com,info@orientekspres.com,0216 380 46 59,İSTANBUL,UTIKAD
Orion Cargo Solution Lojistik A.Ş.,krafttrans.com,y.ulufer@krafttrans.com,0532 780 07 97,İSTANBUL,UTIKAD
Orion Uluslararası Lojistik ve Dış Tic. Ltd. Şti.,oriontr.com,muhasebe@oriontr.com,0324 231 51 01,MERSİN,UTIKAD
Orship Uluslararası Taş. Hiz. ve Tic. Ltd. Şti.,orship.com.tr,farukkucukcelebi@orship.com.tr,0216 410 74 35,İSTANBUL,UTIKAD
OSF Uluslararası Lojistik Hiz. Dış Tic. A.Ş.,osfturkey.com,ik@osfturkey.com,0324 237 75 75,MERSİN,UTIKAD
Oto Irmak Motorlu Araçlar Tic. ve San. A.Ş.,irmakgrup.com.tr,ogunci@otoirmak.com.tr,0232 433 97 73,İZMİR,UTIKAD
Öykü Lojistik A.Ş.,oykugrup.com.tr,info@oykulogistics.com,444 69 58,İSTANBUL,UTIKAD
Öz Erkan Lojistik Nakliyat Otomotiv Petrol Gıda Ürünleri Sanayi ve Ticaret Ltd. Şti.,ozerkanlojistik.com,info@ozerkanlojistik.com,0324 239 27 21,MERSİN,UTIKAD
Öznakliyat Kara Taşımacılığı A.Ş.,oznakliyat.com.tr,info@oznakliyat.com.tr,0216 461 25 00,İSTANBUL,UTIKAD
Paket Taşımacılık Sistemleri A.Ş.,pts.net,cs@pts.net,0212 444 07 87,İSTANBUL,UTIKAD
Pan Lojistik Hizmetleri A.Ş.,panlogistics.com.tr,gulriz.kantek@panlogistics.com.tr,0212 579 30 00,İSTANBUL,UTIKAD
Pass Global Ulus. Taş. Dış Tic. Ltd. Şti.,kargopass.com,info@kargopass.com,0850 888 72 77,BURSA,UTIKAD
Pentagram Logistics Dış Ticaret Ltd. Şti.,pentagramlogistics.com,info@pentagramlogistics.com,0216 208 92 24,İSTANBUL,UTIKAD
Pers Lojistik Hiz. İth. İhr. İnş. San. Ltd. Şti.,pers.com.tr,alibal@pers.com.tr,0850 333 73 77,İSTANBUL,UTIKAD
Planet Uluslararası Taş. ve Dış Tic. Ltd. Şti.,planetlogistics.com.tr,info@planetlogistics.com.tr,0212 219 11 81,İSTANBUL,UTIKAD
PLH Lojistik Hizmetleri A.Ş.,plh.com.tr,info@plh.com.tr,0850 393 45 50,İSTANBUL,UTIKAD
Portera Lojistik A.Ş.,porteraglobal.com,info@porteraglobal.com,0212 824 43 72,İSTANBUL,UTIKAD
Posta ve Telgraf Teşkilatı A.Ş.,ptt.gov.tr,lojistikdaire@ptt.gov.tr,0312 509 58 00,ANKARA,UTIKAD
Profreight Taşımacılık Hizmetleri A.Ş.,profreight.com.tr,info@profreight.com.tr,0216 413 33 30,İSTANBUL,UTIKAD
Proje Kargo Yat Taşımacılık A.Ş.,project-yacht.com,info@project-yacht.com,0216 447 44 81,İSTANBUL,UTIKAD
Propa Denizcilik ve Ulus. Taş. Tic. A.Ş.,propatrans.com,propa@propatrans.com,0216 455 43 74,İSTANBUL,UTIKAD
PSA BDP International Lojistik Ltd. Şti.,bdpinternational.com,fikret.ersoy@bdpint.com,0212 346 06 01,İSTANBUL,UTIKAD
PSP Ekspres Taşımacılık Tic. Ltd. Şti.,pspexpress.com,,0850 255 2556,İSTANBUL,UTIKAD
Puma Denizcilik ve Lojistik A.Ş.,pumashipping.com,ftopcuoglu@pumashipping.com,0212 252 80 63,İSTANBUL,UTIKAD
Pyramids Lojistik Hizmetleri A.Ş.,pyramidsfreight.com,turkey@pyramidsfreight.com,0216 468 88 87,İSTANBUL,UTIKAD
QNT Lojistik Tic. Ltd. Şti.,quantumtrans.com,info@quantumtrans.com,0216 639 00 99,İSTANBUL,UTIKAD
QS Mikro Dağıtım A.Ş.,quickshipper.com,,0216 232 28 40,İSTANBUL,UTIKAD
Qualitairsea Lojistik Hizmetleri A.Ş.,qualitairsea.com.tr,info@qualitairsea.com.tr,0212 466 01 01,İSTANBUL,UTIKAD
Rahban Lojistik Nakliyat ve Dış Tic. Ltd. Şti.,rahbanlogistics.com,info@rahbanlogistics.com,0212 570 52 12,İSTANBUL,UTIKAD
Railport Terminal İşletmeleri A.Ş.,railport.com.tr,,0262 305 13 05,KOCAELİ,UTIKAD
Rapid Ulus.Taş. Turizm San. ve Tic. Ltd. Şti.,rapid.com.tr,rapid@rapid.com.tr,0212 252 38 33,İSTANBUL,UTIKAD
Raykam Lojistik Taşıma Madencilik İnşaat Orman Ürünleri San. ve Tic. A.Ş.,raykamlojistik.com.tr,info@raykamlojistik.com.tr,0262 644 46 16,KOCAELİ,UTIKAD
Redlog Taşımacılık Hizmetleri A.Ş.,red-log.com.tr,,0216 232 31 01,İSTANBUL,UTIKAD
Reibel Taşımacılık ve Ticaret A.Ş.,reibel.com.tr,info@reibel.com.tr,0212 426 87 00,İSTANBUL,UTIKAD
Rentrans Ulus. Taş. ve Tic. Ltd. Şti.,rentrans.com,info@rentrans.com,0216 574 63 33,İSTANBUL,UTIKAD
Rhenus Turkey Lojistik Ltd. Şti.,tr.rhenus.com,salesist@tr.rhenus.com,0212 293 26 00,İSTANBUL,UTIKAD
RLS Uluslararası Taşımacılık ve Tic. Ltd. Şti.,rls-logistics.com,operasyon@tr-rls.com,0212 596 26 50,İSTANBUL,UTIKAD
Rola Lojistik ve Uluslararası Taş. Ltd. Şti.,rolalogistics.com,info@rolalogistics.com,0232 390 91 60,İZMİR,UTIKAD
Royal Line Lojistik İç ve Dış Tic. Ltd. Şti.,rll.com.tr,info@rll.com.tr,0324 238 00 05,MERSİN,UTIKAD
Royal Lojistik ve Ulus. Taş. Dış Tic. Ltd. Şti.,royallojistik.com,sales@royallojistik.com,0216 510 49 34,İSTANBUL,UTIKAD
Rtm Lojistik İç ve Dış Ticaret A.Ş.,rtmlojistik.com.tr,info@rtmlojistik.com.tr,0326 502 47 97,HATAY,UTIKAD
RTSB İntermodal Taş. ve Loj. Tic. Ltd. Şti.,rtsb.de,info@rtsb.com.tr,0232 325 00 88,İZMİR,UTIKAD
S Lojistik Hizmetler A.Ş.,slojistik.com.tr,info@slojistik.com.tr,0212 465 46 92,İSTANBUL,UTIKAD
S Sistem Lojistik Hizmetler A.Ş.,ssistem.com,info@ssistem.com.tr,0212 468 25 00,İSTANBUL,UTIKAD
Sabay Lojistik A.Ş.,sabay.com.tr,info@sabay.com.tr,0212 217 36 20,İSTANBUL,UTIKAD
Sahra Havacılık ve Lojistik Hizmetler Ltd. Şti.,sahragroup.com,export@sahragroup.com,444 97 47,İSTANBUL,UTIKAD
Sal Antrepo ve Lojistik A.Ş.,sallojistik.com.tr,info@sallojistik.com.tr,0324 221 44 44,MERSİN,UTIKAD
Samer And Co Shipping Taşımacılık A.Ş.,samer.com,,0216 212 55 21,İSTANBUL,UTIKAD
Samsung SDS Global SCL Nak. ve Loj. A.Ş.,samsungsds.com,sinan.u@samsung.com,0212 437 88 15,İSTANBUL,UTIKAD
Sapphire Global Trading İnşaat Sanayi ve Dış Ticaret Ltd. Şti.,gtsapphire.com.tr,operasyon@gtsapphire.com.tr,0533 598 20 62,MERSİN,UTIKAD
Sarex Uluslararası Loj. ve Dış Tic. Ltd. Şti.,sarexlogistics.com.tr,accounting@sarexlogistics.com,0538 030 54 23,MERSİN,UTIKAD
Savino Del Bene Nakliyat A.Ş.,savinodelbene.com,turgay.cakar@savinodelbene.com,0212-395 14 40,İSTANBUL,UTIKAD
Saygınlar Ulus. Taş. Gıda San. ve Tic. Ltd. Şti.,sayginlarnakliyat.com,info@sayginlarnakliyat.com,0326 225 26 87,HATAY,UTIKAD
Scanwell Lojistik A.Ş.,scanwell.com,istanbul@batigroup.com.tr,0212 293 30 77,İSTANBUL,UTIKAD
Schenker Arkas Nakliyat ve Ticaret A.Ş.,dbschenkerarkas.com.tr,schist@dbschenkerarkas.com.tr,0212 336 00 36,İSTANBUL,UTIKAD
SEA World Denizcilik Ltd. Şti.,seaworldshipping.com,info@seaworldshipping.com,0212 251 18 18,İSTANBUL,UTIKAD
Seamark Uluslararası Taş. ve Tic. A.Ş.,seamark.biz,info@sea-mark.com.tr,0850 223 98 85,İZMİR,UTIKAD
Sega Lojistik ve Taşımacılık Dış Tic. Ltd. Şti.,segalojistik.com,operasyon@segalojistik.com,0212 510 05 55,İSTANBUL,UTIKAD
Select Bilişim Hizmetleri A.Ş.,selectyazilim.com,select@selectyazilim.com,0212 211 32 11,İSTANBUL,UTIKAD
Ser Den Denizcilik Taşımacılık Tic. Ltd. Şti.,ser-den.com,info@ser-den.com,0212 481 68 00,İSTANBUL,UTIKAD
Seray Uluslararası Taşımacılık İnş. Tic. Ltd. Şti.,seraytrans.com,semih@seraytrans.com,0212 451 51 01,İSTANBUL,UTIKAD
Serhatlı İnsan Kaynakları Lojistik Taş. ve Temizlik Hiz. Dış Ticaret Ltd. Şti.,serhatlilojistik.com,info@serhatlilojistik.com,0212 809 03 10,İSTANBUL,UTIKAD
Sertrans Ulus. Nak.Ticaret A.Ş.,sertrans.com.tr,info@sertrans.com.tr,0850 288 81 81 - 444 5 737,İSTANBUL,UTIKAD
Servex Global Lojistik ve Dış Tic. A.Ş.,servex.com.tr,info@servex.com.tr,0212 603 33 32,İSTANBUL,UTIKAD
SGS Transitnet Transit Sistemi Destek Hiz. A.Ş.,sgs.com.tr,transitnet.turkey@sgs.com,0212 368 40 20,İSTANBUL,UTIKAD
SH Lojistik Sanayi ve Ticaret A.Ş.,shlojistik.com,sh@shlojistik.com,0324 237 69 90,MERSİN,UTIKAD
Shipco Transport Uluslararası Nak. Ltd. Şti.,shipco.com,istsup@shipco.com,0212 252 80 20,İSTANBUL,UTIKAD
ShipLounge Loj. ve Yazılım Sis. San. Tic. Şti.,shiplounge.co,info@shiplounge.co,0850 308 10 38,ANKARA,UTIKAD
Sibel Uluslararası Taş. ve Dış Tic. Ltd. Şti.,sibel.com.tr,sibel@sibel.com.tr,0216 574 12 12,İSTANBUL,UTIKAD
Sigma Denizcilik Kon. ve Loj. San. Tic. Ltd. Şti.,sigmacontainer.com,design@sigmamodules.com,0212 852 00 30,İSTANBUL,UTIKAD
Silk Road Lojistik ve Dış Ticaret Ltd. Şti.,silkroadlojistik.com,info@silkroadlojistik.com,0216 456 52 72,İSTANBUL,UTIKAD
Sin Global Forwardıng Nak. San. ve Tic. Ltd. Şti.,singlobal.com.tr,info@singlobal.com.tr,0212 875 45 00,İSTANBUL,UTIKAD
Sina İthalat İhracat ve Ulus. Nak. Tic. Ltd. Şti.,sinaco.com.tr,transport@sinaco.com.tr,0216 385 38 22-23,İSTANBUL,UTIKAD
Sincer Lojistik A.Ş.,sincerlojistik.com.tr,info@sincerlojistik.com,0324 233 26 07,MERSİN,UTIKAD
Sinotrans Makzume Lojistik Ltd. Şti.,sinotrans.com,info@sinotrans-makzume.com,0850 288 45 90,İSTANBUL,UTIKAD
Sintek İnşaat Endüstriyel Tesisler A.Ş.,sinteklogistics.com,o.bute@sinteklogistics.com,0212 356 20 71,ANKARA,UTIKAD
Sittnak Lojistik A.Ş.,sittnak.com.tr,,0212 778 11 11,İSTANBUL,UTIKAD
SKY Logistics Hava Kara Deniz Taşımacılığı ve Dış Ticaret Ltd. Şti.,skylogistics.com.tr,cargo@skylogistics.com.tr,0530 233 20 03,İSTANBUL,UTIKAD
Skymar Lojistik Ltd. Şti.,skymar.com.tr,,0216 912 22 55,İSTANBUL,UTIKAD
SLF Lojistik Uluslararası Nakliyat Turizm İnşaat ve Ticaret Ltd. Şti.,slflogistic.com,selin@slflogistic.com,0216 784 64 62,İSTANBUL,UTIKAD
SNS Ekspres Lojistik Sanayi ve Ticaret Ltd. Şti.,snsexpressglobal.com,info@snsexpressglobal.com,0539 571 33 83,İSTANBUL,UTIKAD
SNS Uluslararası Nakliyat ve Dış Tic. Ltd. Şti.,sns-international.com,info@sns-international.com,0212 269 28 70,İSTANBUL,UTIKAD
SOFT İş Çözümleri A.Ş.,soft.com.tr,soft@soft.com.tr,0212 212 79 20,İSTANBUL,UTIKAD
Solibra Lojistik Hizmetleri A.Ş.,solibra.com.tr,solibra@solibra.com.tr,0216 416 30 62,İSTANBUL,UTIKAD
Solmaz Gümrük Müşavirliği A.Ş.,solmaz.com,info@solmaz.com,0212 334 02 34,İSTANBUL,UTIKAD
Soyer Nakliyat ve Ambalaj San. ve Tic. A.Ş.,soyer.com.tr,soyer@soyer.com.tr,0216 411 27 21,İSTANBUL,UTIKAD
Speedline Uluslararası Nak. ve Tic. Ltd. Şti.,speedlinetr.com,info@speedlinetr.com,0216 939 97 73,İSTANBUL,UTIKAD
ST Uluslararası Deniz Taşımacılığı Nakliyat Lojistik Hizmetleri ve Dış Tic. A.Ş.,stlojistik.com.tr,info@stlojistik.com.tr,0216 450 58 38,İSTANBUL,UTIKAD
Star Aır Sea Lojistik Hizmetleri Ltd. Şti.,starairsea.com,,,İSTANBUL,UTIKAD
Statü Gemi Kiralama ve Tic. Ltd. Şti.,statushipping.com,statu@statushipping.com,0216 531 23 00,İSTANBUL,UTIKAD
Stein Freight Lojistik A.Ş.,steinfreight.com,finance@steinfreight.com,0212 801 46 81,İSTANBUL,UTIKAD
Stoneway Ulus. Taş. İth. İhr. ve Tic. Ltd. Şti.,stoneway.com.tr,info@stoneway.com.tr,0242 244 79 29,ANTALYA,UTIKAD
Sud Marin Taşımacılık A.Ş.,sudmarin.com,koray.denizci@sudmarin.com,0212 890 08 82,İSTANBUL,UTIKAD
Supply Lojistik A.Ş.,supply-logistics.com,info@supply-logistics.com,0216 759 21 81,İSTANBUL,UTIKAD
Susa Shipping Services Dış Ticaret Ltd. Şti.,susashipping.com.tr,meral.horoz@susashipping.com.tr,0212 999 03 98,İSTANBUL,UTIKAD
Suvari Gemi Kiralama  ve Acenteliği Makina Turizm İnşaat Sanayi Tic. A.Ş.,suvarishipping.com,chartering@suvarishipping.com,0216 496 22 22,İSTANBUL,UTIKAD
Sürat Operasyonel Lojistik A.Ş.,suratlogistics.com,tarkan.turkel@suratlojistik.com,0216 557 09 11,İSTANBUL,UTIKAD
SVN Uluslararası Taş. İthalat İhracat  Ltd. Şti.,svn.com.tr,mehmet.sevenoglu@svn.com.tr,0324 504 25 33,MERSİN,UTIKAD
Synctrans Uluslararası Taşımacılık Ltd. Şti.,synctransintl.com,ozgun@synctransintl.com,0553 787 70 00,İSTANBUL,UTIKAD
Şehzade Lojistik Uluslararası Taşımacılık ve İthalat İhracat Ltd. Şti.,sehzadelojistik.com,sehzade@sehzadelojistik.com,0326 503 24 24,HATAY,UTIKAD
T.G.L. TetGlobal Lojistik Nak. San. ve Tic. A.Ş.,tetglobal.com,info@tetglobal.com,0216 327 93 30,İSTANBUL,UTIKAD
Talay Lojistik A.Ş.,talay.com,info@talay.com,0212 495 17 00,İSTANBUL,UTIKAD
Talos Denizcilik ve Uluslararası Taş. A.Ş.,talos.com.tr,talos@talos.com.tr,0216 449 34 05,İSTANBUL,UTIKAD
Tan Global Lojistik Danışmanlık ve Eğitim Hizmetleri Ticaret Ltd. Şti.,tanlogistics.com.tr,info@tanlogistics.com.tr,0212 854 01 55,İSTANBUL,UTIKAD
Tan-Air Uluslararası Taşımacılık Ltd. Şti.,tanair.com.tr,info@tanair.com.tr,0212 288 00 90,İSTANBUL,UTIKAD
Tandem Lojistik Servisler Taş. ve Tic. Ltd. Şti.,tandemlojistik.com.tr,info@tandemlojistik.com.tr,0212 695 74 34,İSTANBUL,UTIKAD
TAR-SHA Uluslararası Lojistik Hiz. Tic. Ltd. Şti.,tar-sha.com,info@tar-sha.com,0312 354 59 01,ANKARA,UTIKAD
TBH Lojistik Hiz. Ltd. Şti.,tbhlog.com,batu.erkan@tbhlog.com,0216 228 42 47,İSTANBUL,UTIKAD
TCT Lojistik A.Ş.,tcttr.com,info@tcttr.com,444 98 28,İSTANBUL,UTIKAD
Tek San Lojis. Tic. Danış. İth. ve İhr. Ltd. Şti.,teksanlojistik.com.tr,operasyon3@teksanlojistik.com.tr,0212 452 96 64,İSTANBUL,UTIKAD
Terra Transport Ulus. Taşıma İşleri Organizatörlüğü ve Tic. Ltd. Şti.,terra-spedition.com,info@terra-spedition.com,0216 391 24 07,İSTANBUL,UTIKAD
Thor Uluslararası Denizcilik Kumanyacılık Liman Hizmetleri Pazarlama A.Ş.,thormarinesa.com.tr,thor@thormarinesa.com.tr,0212 438 00 39,İSTANBUL,UTIKAD
Tırsan Uluslararası Taş. ve Dış Tic. Ltd. Şti.,tirsanlogistics.com,zeliha@tirsanlogistics.com,0530 959 87 87,İSTANBUL,UTIKAD
